,title,number_of_records
130,Soncino-Blätter,2
131,Jahrbuch für Israeliten,10
132,Jüdische allgemeine Zeitung,2
133,Bericht über den Zustand der Israelitischen Waisen-Knaben-Anstalt zu Posen,0
134,Lûaḥ,69
135,Bikkūrē hā-'ittīm,2
136,Kokhve Yitsḥaḳ,1
137,Luaḥ erets Yiśraʾel,1
138,Zeitschrift für jüdische Wohlfahrtspflege,4
139,Allgemeine Israelitische Wochenschrift,2
140,Literarishe bleter,2
141,Blätter des Jüdischen Frauenbundes für Frauenarbeit und Frauenbewegung,2
142,Die jüdische Presse,5
143,Mim-mizraḥ û-mim-maʿarāv,0
144,K.C. Jahrbuch ...,0
145,Bericht der Großloge für Deutschland,2
146,Haḳedem,2
147,Das Morgenland,3
148,Der Sabbath,2
149,Die Menschenrechte,26
150,Gemeindeblatt der Israelitischen Religionsgemeinde zu Leipzig,2
151,Handwerk und Gewerbe,101
152,Allgemeine illustrirte Judenzeitung,2
153,Der Aufstieg,24
154,Der bibel'sche Orient,2
155,Bibliographischer Vierteljahresbericht für die jüdische Literatur,2
156,Monatsschrift der Berliner Logen UOBB,2
157,Freies Blatt,9
158,Das Füllhorn,7
159,Die Gemeinschaft,71
160,Die Gegenwart,48
161,Gemeindeblatt der Deutsch-Israelitischen Gemeinde zu Hamburg,0
162,Gemeindeblatt der Israelitischen Religionsgemeinde Dresden,2
163,Herzl-Bund-Blätter,2
164,Joseph,752
165,Der israelitische Lehrer,3
166,Die jüdische Frau,5
167,Jüdische Monatshefte,7
168,Jüdischer Volksbote,2
169,Jüdisches Gemeindeblatt für das Gebiet der Rheinpfalz,2
170,Gemeinde-Zeitung für die israelitischen Gemeinden Württembergs,2
171,Korrespondenzblatt des Verbandes der Deutschen Juden,2
172,Mitteilungen des Daniel-Bundes,0
173,Der Schild,3
174,Jüdisches Gemeindeblatt,56
175,"Bleṭer far idisher demografye, sṭaṭisṭik un eḳonomiḳ",1
176,Korrespondenzblatt des Centralbüros für Jüdische Auswanderungsangelegenheiten des Hilfsvereins der Deutschen Juden,2
177,Jüdische Turnzeitung,6
178,Pult und Bühne,2
179,Rimmōn,3
180,Mitteilungen des Verbandes der Jüdischen Jugendvereine Deutschlands,5
181,Jahresbericht über die Real- u. Volksschule der Israelitischen Gemeinde zu Frankfurt am Main,0
182,Das jüdische Literaturblatt,3
183,Israelitische Wochenschrift für die religiösen und socialen Interessen des Judenthums,2
184,Mitteilungsblatt des Verbandes nationaldeutscher Juden e.V.,0
185,Israelitische Schulzeitung,2
186,Cultur-almanach,2
187,Blätter,7580
188,Rechenschafts-Bericht,3093
189,Gemeindeblatt der Israelitischen Gemeinde Bremen,2
190,Jüdisches Gemeindeblatt für die israelitischen Gemeinden in Württemberg,2
191,Jüdisches Gemeindeblatt für das Gebiet der Hansestadt Hamburg,2
192,Jüdisches Gemeindeblatt Dresden,2
193,Der jüdische Handwerker,2
194,Israelitische Wochenschrift,15
